Using device: mps
Sampling 1000 networks across 1 chunks of 1000...

--- Processing Chunk 1/1 (1000 networks) ---
Epoch 95 - Avg Loss: 0.0328, Best Loss: 0.0283
Epoch 96 - Avg Loss: 0.0327, Best Loss: 0.0283
Epoch 97 - Avg Loss: 0.0327, Best Loss: 0.0283
Epoch 98 - Avg Loss: 0.0326, Best Loss: 0.0282
Epoch 99 - Avg Loss: 0.0326, Best Loss: 0.0282
Epoch 100 - Avg Loss: 0.0325, Best Loss: 0.0282
Epoch 101 - Avg Loss: 0.0333, Best Loss: 0.0291
Epoch 102 - Avg Loss: 0.0330, Best Loss: 0.0290
Epoch 103 - Avg Loss: 0.0329, Best Loss: 0.0290
Epoch 104 - Avg Loss: 0.0329, Best Loss: 0.0289
Epoch 105 - Avg Loss: 0.0328, Best Loss: 0.0289
Epoch 106 - Avg Loss: 0.0328, Best Loss: 0.0289
Epoch 107 - Avg Loss: 0.0327, Best Loss: 0.0288
Epoch 108 - Avg Loss: 0.0327, Best Loss: 0.0288
Epoch 109 - Avg Loss: 0.0326, Best Loss: 0.0286
Epoch 110 - Avg Loss: 0.0325, Best Loss: 0.0287
Epoch 111 - Avg Loss: 0.0325, Best Loss: 0.0287
Epoch 112 - Avg Loss: 0.0324, Best Loss: 0.0285
Epoch 113 - Avg Loss: 0.0324, Best Loss: 0.0285
Epoch 114 - Avg Loss: 0.0323, Best Loss: 0.0286
Epoch 115 - Avg Loss: 0.0322, Best Loss: 0.0285
Epoch 116 - Avg Loss: 0.0322, Best Loss: 0.0282
Epoch 117 - Avg Loss: 0.0321, Best Loss: 0.0285
Epoch 118 - Avg Loss: 0.0321, Best Loss: 0.0284
Epoch 119 - Avg Loss: 0.0320, Best Loss: 0.0284
Epoch 120 - Avg Loss: 0.0321, Best Loss: 0.0284
Epoch 121 - Avg Loss: 0.0319, Best Loss: 0.0283
Epoch 122 - Avg Loss: 0.0319, Best Loss: 0.0283
Epoch 123 - Avg Loss: 0.0319, Best Loss: 0.0283
Epoch 124 - Avg Loss: 0.0318, Best Loss: 0.0283
Epoch 125 - Avg Loss: 0.0318, Best Loss: 0.0282
Epoch 126 - Avg Loss: 0.0317, Best Loss: 0.0282
Epoch 127 - Avg Loss: 0.0317, Best Loss: 0.0282
Epoch 128 - Avg Loss: 0.0316, Best Loss: 0.0281
Epoch 129 - Avg Loss: 0.0316, Best Loss: 0.0281
Epoch 130 - Avg Loss: 0.0315, Best Loss: 0.0281
Epoch 131 - Avg Loss: 0.0315, Best Loss: 0.0280
Epoch 132 - Avg Loss: 0.0315, Best Loss: 0.0280
Epoch 133 - Avg Loss: 0.0314, Best Loss: 0.0279
Epoch 134 - Avg Loss: 0.0314, Best Loss: 0.0279
Epoch 135 - Avg Loss: 0.0313, Best Loss: 0.0278
Epoch 136 - Avg Loss: 0.0313, Best Loss: 0.0277
Epoch 137 - Avg Loss: 0.0313, Best Loss: 0.0276
Epoch 138 - Avg Loss: 0.0313, Best Loss: 0.0275
Epoch 139 - Avg Loss: 0.0312, Best Loss: 0.0274
Epoch 140 - Avg Loss: 0.0312, Best Loss: 0.0273
Epoch 141 - Avg Loss: 0.0312, Best Loss: 0.0272
Epoch 142 - Avg Loss: 0.0312, Best Loss: 0.0276
Epoch 143 - Avg Loss: 0.0311, Best Loss: 0.0271
